Nx	 Nt	 CFL	 amp	 U_adv	 init	 harm	 phase	 itmax
250	 100	 0_40	 1_00	 45_00	 sin	 1_00	 0_66	 300
250	 100	 0_40	 0_50	 0_30	 sin	 1_00	 0_00	 350
250	 100	 0_40	 0_50	 0_30	 sin	 1_00	 0_17	 350
250	 100	 0_40	 0_50	 0_30	 sin	 1_00	 0_33	 350
250	 100	 0_40	 0_50	 0_30	 sin	 1_00	 0_50	 350
250	 100	 0_40	 0_50	 0_30	 sin	 2_00	 0_00	 350
250	 100	 0_40	 0_50	 0_30	 sin	 2_00	 0_17	 350
250	 100	 0_40	 0_50	 0_30	 sin	 2_00	 0_33	 350
250	 100	 0_40	 0_50	 0_30	 sin	 2_00	 0_50	 350
250	 100	 0_40	 0_50	 0_30	 sin	 3_00	 0_00	 350
250	 100	 0_40	 0_50	 0_30	 sin	 3_00	 0_17	 350
250	 100	 0_40	 0_50	 0_30	 sin	 3_00	 0_33	 350
250	 100	 0_40	 0_50	 0_30	 sin	 3_00	 0_50	 350
250	 100	 0_40	 1_00	 0_30	 sin	 1_00	 0_00	 350
250	 100	 0_40	 1_00	 0_30	 sin	 1_00	 0_17	 350
250	 100	 0_40	 1_00	 0_30	 sin	 1_00	 0_33	 350
250	 100	 0_40	 1_00	 0_30	 sin	 1_00	 0_50	 350
250	 100	 0_40	 1_00	 0_30	 sin	 2_00	 0_00	 350
250	 100	 0_40	 1_00	 0_30	 sin	 2_00	 0_17	 350
250	 100	 0_40	 1_00	 0_30	 sin	 2_00	 0_33	 350
250	 100	 0_40	 1_00	 0_30	 sin	 2_00	 0_50	 350
250	 100	 0_40	 1_00	 0_30	 sin	 3_00	 0_00	 350
250	 100	 0_40	 1_00	 0_30	 sin	 3_00	 0_17	 350
250	 100	 0_40	 1_00	 0_30	 sin	 3_00	 0_33	 350
250	 100	 0_40	 1_00	 0_30	 sin	 3_00	 0_50	 350
250	 100	 0_40	 1_50	 0_30	 sin	 1_00	 0_00	 350
250	 100	 0_40	 1_50	 0_30	 sin	 1_00	 0_17	 350
250	 100	 0_40	 1_50	 0_30	 sin	 1_00	 0_33	 350
250	 100	 0_40	 1_50	 0_30	 sin	 1_00	 0_50	 350
250	 100	 0_40	 1_50	 0_30	 sin	 2_00	 0_00	 350
250	 100	 0_40	 1_50	 0_30	 sin	 2_00	 0_17	 350
250	 100	 0_40	 1_50	 0_30	 sin	 2_00	 0_33	 350
250	 100	 0_40	 1_50	 0_30	 sin	 2_00	 0_50	 350
250	 100	 0_40	 1_50	 0_30	 sin	 3_00	 0_00	 350
250	 100	 0_40	 1_50	 0_30	 sin	 3_00	 0_17	 350
250	 100	 0_40	 1_50	 0_30	 sin	 3_00	 0_33	 350
250	 100	 0_40	 1_50	 0_30	 sin	 3_00	 0_50	 350
250	 100	 0_40	 0_50	 0_60	 sin	 1_00	 0_00	 200
250	 100	 0_40	 0_50	 0_60	 sin	 1_00	 0_17	 200
250	 100	 0_40	 0_50	 0_60	 sin	 1_00	 0_33	 200
250	 100	 0_40	 0_50	 0_60	 sin	 1_00	 0_50	 200
250	 100	 0_40	 0_50	 0_60	 sin	 2_00	 0_00	 200
250	 100	 0_40	 0_50	 0_60	 sin	 2_00	 0_17	 200
250	 100	 0_40	 0_50	 0_60	 sin	 2_00	 0_33	 200
250	 100	 0_40	 0_50	 0_60	 sin	 2_00	 0_50	 200
250	 100	 0_40	 0_50	 0_60	 sin	 3_00	 0_00	 200
250	 100	 0_40	 0_50	 0_60	 sin	 3_00	 0_17	 200
250	 100	 0_40	 0_50	 0_60	 sin	 3_00	 0_33	 200
250	 100	 0_40	 0_50	 0_60	 sin	 3_00	 0_50	 200
250	 100	 0_40	 1_00	 0_60	 sin	 1_00	 0_00	 200
250	 100	 0_40	 1_00	 0_60	 sin	 1_00	 0_17	 200
250	 100	 0_40	 1_00	 0_60	 sin	 1_00	 0_33	 200
250	 100	 0_40	 1_00	 0_60	 sin	 1_00	 0_50	 200
250	 100	 0_40	 1_00	 0_60	 sin	 2_00	 0_00	 200
250	 100	 0_40	 1_00	 0_60	 sin	 2_00	 0_17	 200
250	 100	 0_40	 1_00	 0_60	 sin	 2_00	 0_33	 200
250	 100	 0_40	 1_00	 0_60	 sin	 2_00	 0_50	 200
250	 100	 0_40	 1_00	 0_60	 sin	 3_00	 0_00	 200
250	 100	 0_40	 1_00	 0_60	 sin	 3_00	 0_17	 200
250	 100	 0_40	 1_00	 0_60	 sin	 3_00	 0_33	 200
250	 100	 0_40	 1_00	 0_60	 sin	 3_00	 0_50	 200
250	 100	 0_40	 1_50	 0_60	 sin	 1_00	 0_00	 200
250	 100	 0_40	 1_50	 0_60	 sin	 1_00	 0_17	 200
250	 100	 0_40	 1_50	 0_60	 sin	 1_00	 0_33	 200
250	 100	 0_40	 1_50	 0_60	 sin	 1_00	 0_50	 200
250	 100	 0_40	 1_50	 0_60	 sin	 2_00	 0_00	 200
250	 100	 0_40	 1_50	 0_60	 sin	 2_00	 0_17	 200
250	 100	 0_40	 1_50	 0_60	 sin	 2_00	 0_33	 200
250	 100	 0_40	 1_50	 0_60	 sin	 2_00	 0_50	 200
250	 100	 0_40	 1_50	 0_60	 sin	 3_00	 0_00	 200
250	 100	 0_40	 1_50	 0_60	 sin	 3_00	 0_17	 200
250	 100	 0_40	 1_50	 0_60	 sin	 3_00	 0_33	 200
250	 100	 0_40	 1_50	 0_60	 sin	 3_00	 0_50	 200
250	 100	 0_40	 0_50	 0_90	 sin	 1_00	 0_00	 200
250	 100	 0_40	 0_50	 0_90	 sin	 1_00	 0_17	 200
250	 100	 0_40	 0_50	 0_90	 sin	 1_00	 0_33	 200
250	 100	 0_40	 0_50	 0_90	 sin	 1_00	 0_50	 200
250	 100	 0_40	 0_50	 0_90	 sin	 2_00	 0_00	 200
250	 100	 0_40	 0_50	 0_90	 sin	 2_00	 0_17	 200
250	 100	 0_40	 0_50	 0_90	 sin	 2_00	 0_33	 200
250	 100	 0_40	 0_50	 0_90	 sin	 2_00	 0_50	 200
250	 100	 0_40	 0_50	 0_90	 sin	 3_00	 0_00	 200
250	 100	 0_40	 0_50	 0_90	 sin	 3_00	 0_17	 200
250	 100	 0_40	 0_50	 0_90	 sin	 3_00	 0_33	 200
250	 100	 0_40	 0_50	 0_90	 sin	 3_00	 0_50	 200
250	 100	 0_40	 1_00	 0_90	 sin	 1_00	 0_00	 200
250	 100	 0_40	 1_00	 0_90	 sin	 1_00	 0_17	 200
250	 100	 0_40	 1_00	 0_90	 sin	 1_00	 0_33	 200
250	 100	 0_40	 1_00	 0_90	 sin	 1_00	 0_50	 200
250	 100	 0_40	 1_00	 0_90	 sin	 2_00	 0_00	 200
250	 100	 0_40	 1_00	 0_90	 sin	 2_00	 0_17	 200
250	 100	 0_40	 1_00	 0_90	 sin	 2_00	 0_33	 200
250	 100	 0_40	 1_00	 0_90	 sin	 2_00	 0_50	 200
250	 100	 0_40	 1_00	 0_90	 sin	 3_00	 0_00	 200
250	 100	 0_40	 1_00	 0_90	 sin	 3_00	 0_17	 200
250	 100	 0_40	 1_00	 0_90	 sin	 3_00	 0_33	 200
250	 100	 0_40	 1_00	 0_90	 sin	 3_00	 0_50	 200
250	 100	 0_40	 1_50	 0_90	 sin	 1_00	 0_00	 200
250	 100	 0_40	 1_50	 0_90	 sin	 1_00	 0_17	 200
250	 100	 0_40	 1_50	 0_90	 sin	 1_00	 0_33	 200
250	 100	 0_40	 1_50	 0_90	 sin	 1_00	 0_50	 200
250	 100	 0_40	 1_50	 0_90	 sin	 2_00	 0_00	 200
250	 100	 0_40	 1_50	 0_90	 sin	 2_00	 0_17	 200
250	 100	 0_40	 1_50	 0_90	 sin	 2_00	 0_33	 200
250	 100	 0_40	 1_50	 0_90	 sin	 2_00	 0_50	 200
250	 100	 0_40	 1_50	 0_90	 sin	 3_00	 0_00	 200
250	 100	 0_40	 1_50	 0_90	 sin	 3_00	 0_17	 200
250	 100	 0_40	 1_50	 0_90	 sin	 3_00	 0_33	 200
250	 100	 0_40	 1_50	 0_90	 sin	 3_00	 0_50	 200
250	 100	 0_40	 0_50	 1_20	 sin	 1_00	 0_00	 200
250	 100	 0_40	 0_50	 1_20	 sin	 1_00	 0_17	 200
250	 100	 0_40	 0_50	 1_20	 sin	 1_00	 0_33	 200
250	 100	 0_40	 0_50	 1_20	 sin	 1_00	 0_50	 200
250	 100	 0_40	 0_50	 1_20	 sin	 2_00	 0_00	 200
250	 100	 0_40	 0_50	 1_20	 sin	 2_00	 0_17	 200
250	 100	 0_40	 0_50	 1_20	 sin	 2_00	 0_33	 200
250	 100	 0_40	 0_50	 1_20	 sin	 2_00	 0_50	 200
250	 100	 0_40	 0_50	 1_20	 sin	 3_00	 0_00	 200
250	 100	 0_40	 0_50	 1_20	 sin	 3_00	 0_17	 200
250	 100	 0_40	 0_50	 1_20	 sin	 3_00	 0_33	 200
250	 100	 0_40	 0_50	 1_20	 sin	 3_00	 0_50	 200
250	 100	 0_40	 1_00	 1_20	 sin	 1_00	 0_00	 200
250	 100	 0_40	 1_00	 1_20	 sin	 1_00	 0_17	 200
250	 100	 0_40	 1_00	 1_20	 sin	 1_00	 0_33	 200
250	 100	 0_40	 1_00	 1_20	 sin	 1_00	 0_50	 200
250	 100	 0_40	 1_00	 1_20	 sin	 2_00	 0_00	 200
250	 100	 0_40	 1_00	 1_20	 sin	 2_00	 0_17	 200
250	 100	 0_40	 1_00	 1_20	 sin	 2_00	 0_33	 200
250	 100	 0_40	 1_00	 1_20	 sin	 2_00	 0_50	 200
250	 100	 0_40	 1_00	 1_20	 sin	 3_00	 0_00	 200
250	 100	 0_40	 1_00	 1_20	 sin	 3_00	 0_17	 200
250	 100	 0_40	 1_00	 1_20	 sin	 3_00	 0_33	 200
250	 100	 0_40	 1_00	 1_20	 sin	 3_00	 0_50	 200
250	 100	 0_40	 1_50	 1_20	 sin	 1_00	 0_00	 200
250	 100	 0_40	 1_50	 1_20	 sin	 1_00	 0_17	 200
250	 100	 0_40	 1_50	 1_20	 sin	 1_00	 0_33	 200
250	 100	 0_40	 1_50	 1_20	 sin	 1_00	 0_50	 200
250	 100	 0_40	 1_50	 1_20	 sin	 2_00	 0_00	 200
250	 100	 0_40	 1_50	 1_20	 sin	 2_00	 0_17	 200
250	 100	 0_40	 1_50	 1_20	 sin	 2_00	 0_33	 200
250	 100	 0_40	 1_50	 1_20	 sin	 2_00	 0_50	 200
250	 100	 0_40	 1_50	 1_20	 sin	 3_00	 0_00	 200
250	 100	 0_40	 1_50	 1_20	 sin	 3_00	 0_17	 200
250	 100	 0_40	 1_50	 1_20	 sin	 3_00	 0_33	 200
250	 100	 0_40	 1_50	 1_20	 sin	 3_00	 0_50	 200
250	 100	 0_40	 0_50	 1_50	 sin	 1_00	 0_00	 200
250	 100	 0_40	 0_50	 1_50	 sin	 1_00	 0_17	 200
250	 100	 0_40	 0_50	 1_50	 sin	 1_00	 0_33	 200
250	 100	 0_40	 0_50	 1_50	 sin	 1_00	 0_50	 200
250	 100	 0_40	 0_50	 1_50	 sin	 2_00	 0_00	 200
250	 100	 0_40	 0_50	 1_50	 sin	 2_00	 0_17	 200
250	 100	 0_40	 0_50	 1_50	 sin	 2_00	 0_33	 200
250	 100	 0_40	 0_50	 1_50	 sin	 2_00	 0_50	 200
250	 100	 0_40	 0_50	 1_50	 sin	 3_00	 0_00	 200
250	 100	 0_40	 0_50	 1_50	 sin	 3_00	 0_17	 200
250	 100	 0_40	 0_50	 1_50	 sin	 3_00	 0_33	 200
250	 100	 0_40	 0_50	 1_50	 sin	 3_00	 0_50	 200
250	 100	 0_40	 1_00	 1_50	 sin	 1_00	 0_00	 200
250	 100	 0_40	 1_00	 1_50	 sin	 1_00	 0_17	 200
250	 100	 0_40	 1_00	 1_50	 sin	 1_00	 0_33	 200
250	 100	 0_40	 1_00	 1_50	 sin	 1_00	 0_50	 200
250	 100	 0_40	 1_00	 1_50	 sin	 2_00	 0_00	 200
250	 100	 0_40	 1_00	 1_50	 sin	 2_00	 0_17	 200
250	 100	 0_40	 1_00	 1_50	 sin	 2_00	 0_33	 200
250	 100	 0_40	 1_00	 1_50	 sin	 2_00	 0_50	 200
250	 100	 0_40	 1_00	 1_50	 sin	 3_00	 0_00	 200
250	 100	 0_40	 1_00	 1_50	 sin	 3_00	 0_17	 200
250	 100	 0_40	 1_00	 1_50	 sin	 3_00	 0_33	 200
250	 100	 0_40	 1_00	 1_50	 sin	 3_00	 0_50	 200
250	 100	 0_40	 1_50	 1_50	 sin	 1_00	 0_00	 200
250	 100	 0_40	 1_50	 1_50	 sin	 1_00	 0_17	 200
250	 100	 0_40	 1_50	 1_50	 sin	 1_00	 0_33	 200
250	 100	 0_40	 1_50	 1_50	 sin	 1_00	 0_50	 200
250	 100	 0_40	 1_50	 1_50	 sin	 2_00	 0_00	 200
250	 100	 0_40	 1_50	 1_50	 sin	 2_00	 0_17	 200
250	 100	 0_40	 1_50	 1_50	 sin	 2_00	 0_33	 200
250	 100	 0_40	 1_50	 1_50	 sin	 2_00	 0_50	 200
250	 100	 0_40	 1_50	 1_50	 sin	 3_00	 0_00	 200
250	 100	 0_40	 1_50	 1_50	 sin	 3_00	 0_17	 200
250	 100	 0_40	 1_50	 1_50	 sin	 3_00	 0_33	 200
250	 100	 0_40	 1_50	 1_50	 sin	 3_00	 0_50	 200
